Age,Total Citizen Population,Reported registered,Reported not registered,No response to registration 1,Reported voted,Reported did not vote,No response to voting 2
18 to 24 years,"5,084","2,340","1,580","1,165","1,743","2,213","1,128"
25 to 44 years,"10,729","6,059","2,811","1,859","4,951","3,966","1,812"
45 to 64 years,"7,614","4,776","1,408","1,430","4,153","2,094","1,367"
65 to 74 years,"1,993","1,315",356,322,"1,176",487,330
75 years and over,"1,242",777,240,225,659,356,226
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
